DATA,HORA,ORIGEM,DESTINO,TR
01/04/2014,00:00:00,777-777,914-310,I
01/04/2014,00:07:00,888-888,664-435,I
01/04/2014,00:13:00,777-777,914-310,F
01/04/2014,00:18:00,888-888,664-435,F
01/04/2014,00:18:00,888-888,651-336,I
01/04/2014,00:30:00,777-777,706-375,I
01/04/2014,00:44:00,888-888,651-336,F
01/04/2014,01:01:00,888-888,148-880,I
01/04/2014,01:25:00,888-888,148-880,F
01/04/2014,01:43:00,888-888,990-940,I
01/04/2014,01:59:00,777-777,706-375,F
01/04/2014,02:27:00,888-888,990-940,F
01/04/2014,02:29:00,777-777,761-931,I
01/04/2014,02:42:00,777-777,761-931,F
01/04/2014,02:49:00,777-777,129-360,I
01/04/2014,02:55:00,888-888,468-349,I
01/04/2014,02:57:00,777-777,129-360,F
01/04/2014,03:13:00,888-888,468-349,F
01/04/2014,03:13:00,888-888,860-973,I
01/04/2014,03:15:00,777-777,853-439,I
01/04/2014,03:23:00,777-777,853-439,F
01/04/2014,03:42:00,888-888,860-973,F
01/04/2014,03:42:00,777-777,860-973,I
01/04/2014,03:44:00,777-777,860-973,F
01/04/2014,03:47:00,777-777,545-330,I
01/04/2014,03:48:00,777-777,545-330,F
01/04/2014,04:09:00,888-888,730-977,I
01/04/2014,04:16:00,777-777,689-975,I
01/04/2014,04:21:00,777-777,689-975,F
01/04/2014,04:31:00,888-888,730-977,F
01/04/2014,04:31:00,999-999,834-103,I
01/04/2014,04:31:00,777-777,394-441,I
01/04/2014,04:32:00,777-777,394-441,F
01/04/2014,04:35:00,999-999,834-103,F
01/04/2014,05:23:00,999-999,139-853,I
01/04/2014,05:23:00,888-888,205-205,I
01/04/2014,05:28:00,777-777,384-737,I
01/04/2014,05:32:00,888-888,205-205,F
01/04/2014,05:53:00,888-888,434-112,I
01/04/2014,06:26:00,999-999,139-853,F
01/04/2014,06:43:00,888-888,434-112,F
01/04/2014,06:45:00,999-999,426-972,I
01/04/2014,06:58:00,999-999,426-972,F
01/04/2014,06:58:00,777-777,384-737,F
01/04/2014,07:03:00,999-999,829-984,I
01/04/2014,07:17:00,999-999,829-984,F
01/04/2014,07:20:00,999-999,953-940,I
01/04/2014,07:26:00,999-999,953-940,F
01/04/2014,07:52:00,888-888,962-084,I
01/04/2014,07:58:00,777-777,264-323,I
01/04/2014,08:04:00,777-777,264-323,F
01/04/2014,08:11:00,888-888,962-084,F
01/04/2014,08:15:00,999-999,477-266,I
01/04/2014,08:15:00,777-777,384-737,I
01/04/2014,08:33:00,999-999,477-266,F
01/04/2014,08:37:00,777-777,384-737,F
01/04/2014,08:49:00,777-777,131-864,I
01/04/2014,08:57:00,999-999,524-351,I
01/04/2014,08:58:00,999-999,524-351,F
01/04/2014,09:03:00,777-777,131-864,F
01/04/2014,09:04:00,888-888,914-310,I
01/04/2014,09:41:00,888-888,914-310,F
01/04/2014,09:49:00,888-888,511-261,I
01/04/2014,09:54:00,777-777,651-336,I
01/04/2014,09:56:00,888-888,511-261,F
01/04/2014,09:57:00,888-888,128-973,I
01/04/2014,10:09:00,888-888,128-973,F
01/04/2014,10:18:00,777-777,651-336,F
01/04/2014,10:28:00,888-888,494-318,I
01/04/2014,10:29:00,777-777,128-973,I
01/04/2014,10:30:00,777-777,128-973,F
01/04/2014,10:32:00,777-777,554-823,I
01/04/2014,10:36:00,999-999,315-664,I
01/04/2014,10:40:00,999-999,315-664,F
01/04/2014,10:40:00,999-999,264-323,I
01/04/2014,10:42:00,777-777,554-823,F
01/04/2014,10:42:00,999-999,264-323,F
01/04/2014,11:10:00,999-999,689-975,I
01/04/2014,11:14:00,999-999,689-975,F
01/04/2014,11:19:00,888-888,494-318,F
01/04/2014,11:21:00,888-888,220-106,I
01/04/2014,11:26:00,888-888,220-106,F
01/04/2014,11:39:00,999-999,700-151,I
01/04/2014,11:49:00,888-888,876-218,I
01/04/2014,12:01:00,888-888,876-218,F
01/04/2014,12:42:00,888-888,347-222,I
01/04/2014,12:53:00,999-999,700-151,F
01/04/2014,12:55:00,999-999,527-735,I
01/04/2014,12:57:00,888-888,347-222,F
01/04/2014,13:03:00,999-999,527-735,F
01/04/2014,13:25:00,777-777,914-310,I
01/04/2014,13:52:00,777-777,914-310,F
01/04/2014,13:55:00,777-777,545-330,I
01/04/2014,14:00:00,999-999,133-919,I
01/04/2014,14:03:00,777-777,545-330,F
01/04/2014,14:14:00,888-888,584-794,I
01/04/2014,14:15:00,888-888,584-794,F
01/04/2014,14:18:00,999-999,133-919,F
01/04/2014,14:37:00,999-999,584-794,I
01/04/2014,15:00:00,888-888,795-375,I
01/04/2014,15:02:00,999-999,584-794,F
01/04/2014,15:04:00,999-999,415-119,I
01/04/2014,15:05:00,777-777,829-984,I
01/04/2014,15:08:00,999-999,415-119,F
01/04/2014,15:19:00,777-777,829-984,F
01/04/2014,15:42:00,777-777,511-592,I
01/04/2014,15:44:00,777-777,511-592,F
01/04/2014,15:56:00,999-999,744-955,I
01/04/2014,16:19:00,888-888,795-375,F
01/04/2014,16:36:00,888-888,659-340,I
01/04/2014,17:05:00,888-888,659-340,F
01/04/2014,17:13:00,777-777,910-460,I
01/04/2014,17:17:00,999-999,744-955,F
01/04/2014,17:32:00,999-999,761-931,I
01/04/2014,17:54:00,999-999,761-931,F
01/04/2014,17:56:00,888-888,220-106,I
01/04/2014,17:59:00,888-888,220-106,F
01/04/2014,18:02:00,777-777,910-460,F
01/04/2014,18:31:00,777-777,644-829,I
01/04/2014,18:37:00,999-999,127-743,I
01/04/2014,18:40:00,999-999,127-743,F
01/04/2014,18:41:00,777-777,644-829,F
01/04/2014,18:51:00,999-999,667-741,I
01/04/2014,19:09:00,999-999,667-741,F
01/04/2014,19:22:00,999-999,977-895,I
01/04/2014,19:41:00,777-777,664-435,I
01/04/2014,20:05:00,888-888,468-349,I
01/04/2014,20:09:00,777-777,664-435,F
01/04/2014,20:16:00,999-999,977-895,F
01/04/2014,20:17:00,777-777,205-205,I
01/04/2014,20:30:00,777-777,205-205,F
01/04/2014,20:32:00,999-999,203-051,I
01/04/2014,20:39:00,777-777,264-323,I
01/04/2014,21:03:00,888-888,468-349,F
01/04/2014,21:32:00,999-999,203-051,F
01/04/2014,21:37:00,888-888,828-423,I
