DIA,MES,ANO,HORA,MINUTO,ORIGEM,DESTINO
1,4,2014,0,0,777-777,914-310
1,4,2014,0,7,888-888,664-435
1,4,2014,0,13,777-777,828-423
1,4,2014,0,18,888-888,584-794
1,4,2014,0,18,888-888,651-336
1,4,2014,0,30,777-777,706-375
1,4,2014,0,44,888-888,131-864
1,4,2014,1,1,888-888,148-880
1,4,2014,1,25,888-888,761-931
1,4,2014,1,43,888-888,990-940
1,4,2014,1,59,777-777,795-375
1,4,2014,2,27,888-888,953-940
1,4,2014,2,29,777-777,761-931
1,4,2014,2,42,777-777,449-655
1,4,2014,2,49,777-777,129-360
1,4,2014,2,55,888-888,468-349
1,4,2014,2,57,777-777,659-340
1,4,2014,3,13,888-888,795-375
1,4,2014,3,13,888-888,860-973
1,4,2014,3,15,777-777,853-439
1,4,2014,3,23,777-777,554-823
1,4,2014,3,42,888-888,836-032
1,4,2014,3,42,777-777,860-973
1,4,2014,3,44,777-777,702-839
1,4,2014,3,47,777-777,545-330
1,4,2014,3,48,777-777,276-237
1,4,2014,4,9,888-888,730-977
1,4,2014,4,16,777-777,689-975
1,4,2014,4,21,777-777,860-973
1,4,2014,4,31,888-888,799-963
1,4,2014,4,31,999-999,834-103
1,4,2014,4,31,777-777,394-441
1,4,2014,4,32,777-777,422-699
1,4,2014,4,35,999-999,484-815
1,4,2014,5,23,999-999,139-853
1,4,2014,5,23,888-888,205-205
1,4,2014,5,28,777-777,384-737
1,4,2014,5,32,888-888,829-984
1,4,2014,5,53,888-888,434-112
1,4,2014,6,26,999-999,706-375
1,4,2014,6,43,888-888,778-692
1,4,2014,6,45,999-999,426-972
1,4,2014,6,58,999-999,309-289
1,4,2014,6,58,777-777,286-218
1,4,2014,7,3,999-999,829-984
1,4,2014,7,17,999-999,711-811
1,4,2014,7,20,999-999,953-940
1,4,2014,7,26,999-999,668-901
1,4,2014,7,52,888-888,962-084
1,4,2014,7,58,777-777,264-323
1,4,2014,8,4,777-777,676-556
1,4,2014,8,11,888-888,220-106
1,4,2014,8,15,999-999,477-266
1,4,2014,8,15,777-777,384-737
1,4,2014,8,33,999-999,853-439
1,4,2014,8,37,777-777,521-151
1,4,2014,8,49,777-777,131-864
1,4,2014,8,57,999-999,524-351
1,4,2014,8,58,999-999,170-652
1,4,2014,9,3,777-777,668-901
1,4,2014,9,4,888-888,914-310
1,4,2014,9,41,888-888,659-340
1,4,2014,9,49,888-888,511-261
1,4,2014,9,54,777-777,651-336
1,4,2014,9,56,888-888,778-692
1,4,2014,9,57,888-888,128-973
1,4,2014,10,9,888-888,192-992
1,4,2014,10,18,777-777,914-310
1,4,2014,10,28,888-888,494-318
1,4,2014,10,29,777-777,128-973
1,4,2014,10,30,777-777,192-992
1,4,2014,10,32,777-777,554-823
1,4,2014,10,36,999-999,315-664
1,4,2014,10,40,999-999,651-336
1,4,2014,10,40,999-999,264-323
1,4,2014,10,42,777-777,560-747
1,4,2014,10,42,999-999,667-741
1,4,2014,11,10,999-999,689-975
1,4,2014,11,14,999-999,139-853
1,4,2014,11,19,888-888,765-650
1,4,2014,11,21,888-888,220-106
1,4,2014,11,26,888-888,876-218
1,4,2014,11,39,999-999,700-151
1,4,2014,11,49,888-888,876-218
1,4,2014,12,1,888-888,420-586
1,4,2014,12,42,888-888,347-222
1,4,2014,12,53,999-999,693-046
1,4,2014,12,55,999-999,527-735
1,4,2014,12,57,888-888,426-972
1,4,2014,13,3,999-999,705-198
1,4,2014,13,25,777-777,914-310
1,4,2014,13,52,777-777,358-198
1,4,2014,13,55,777-777,545-330
1,4,2014,14,0,999-999,133-919
