DIA,MES,ANO,HORA,MINUTO,ORIGEM,DESTINO,DESTINO,
1,4,2014,0,0,777-777,914-310,914-310,I
1,4,2014,0,7,888-888,664-435,664-435,I
1,4,2014,0,13,777-777,828-423,914-310,F
1,4,2014,0,18,888-888,584-794,664-435,F
1,4,2014,0,18,888-888,651-336,651-336,I
1,4,2014,0,30,777-777,706-375,706-375,I
1,4,2014,0,44,888-888,131-864,651-336,F
1,4,2014,1,1,888-888,148-880,148-880,I
1,4,2014,1,25,888-888,761-931,148-880,F
1,4,2014,1,43,888-888,990-940,990-940,I
1,4,2014,1,59,777-777,795-375,706-375,F
1,4,2014,2,27,888-888,953-940,990-940,F
1,4,2014,2,29,777-777,761-931,761-931,I
1,4,2014,2,42,777-777,449-655,761-931,F
1,4,2014,2,49,777-777,129-360,129-360,I
1,4,2014,2,55,888-888,468-349,468-349,I
1,4,2014,2,57,777-777,659-340,129-360,F
1,4,2014,3,13,888-888,795-375,468-349,F
1,4,2014,3,13,888-888,860-973,860-973,I
1,4,2014,3,15,777-777,853-439,853-439,I
1,4,2014,3,23,777-777,554-823,853-439,F
1,4,2014,3,42,888-888,836-032,860-973,F
1,4,2014,3,42,777-777,860-973,860-973,I
1,4,2014,3,44,777-777,702-839,860-973,F
1,4,2014,3,47,777-777,545-330,545-330,I
1,4,2014,3,48,777-777,276-237,545-330,F
1,4,2014,4,9,888-888,730-977,730-977,I
1,4,2014,4,16,777-777,689-975,689-975,I
1,4,2014,4,21,777-777,860-973,689-975,F
1,4,2014,4,31,888-888,799-963,730-977,F
1,4,2014,4,31,999-999,834-103,834-103,I
1,4,2014,4,31,777-777,394-441,394-441,I
1,4,2014,4,32,777-777,422-699,394-441,F
1,4,2014,4,35,999-999,484-815,834-103,F
1,4,2014,5,23,999-999,139-853,139-853,I
1,4,2014,5,23,888-888,205-205,205-205,I
1,4,2014,5,28,777-777,384-737,384-737,I
1,4,2014,5,32,888-888,829-984,205-205,F
1,4,2014,5,53,888-888,434-112,434-112,I
1,4,2014,6,26,999-999,706-375,139-853,F
1,4,2014,6,43,888-888,778-692,434-112,F
1,4,2014,6,45,999-999,426-972,426-972,I
1,4,2014,6,58,999-999,309-289,426-972,F
1,4,2014,6,58,777-777,286-218,384-737,F
1,4,2014,7,3,999-999,829-984,829-984,I
1,4,2014,7,17,999-999,711-811,829-984,F
1,4,2014,7,20,999-999,953-940,953-940,I
1,4,2014,7,26,999-999,668-901,953-940,F
1,4,2014,7,52,888-888,962-084,962-084,I
1,4,2014,7,58,777-777,264-323,264-323,I
1,4,2014,8,4,777-777,676-556,264-323,F
1,4,2014,8,11,888-888,220-106,962-084,F
1,4,2014,8,15,999-999,477-266,477-266,I
1,4,2014,8,15,777-777,384-737,384-737,I
1,4,2014,8,33,999-999,853-439,477-266,F
1,4,2014,8,37,777-777,521-151,384-737,F
1,4,2014,8,49,777-777,131-864,131-864,I
1,4,2014,8,57,999-999,524-351,524-351,I
1,4,2014,8,58,999-999,170-652,524-351,F
1,4,2014,9,3,777-777,668-901,131-864,F
1,4,2014,9,4,888-888,914-310,914-310,I
1,4,2014,9,41,888-888,659-340,914-310,F
1,4,2014,9,49,888-888,511-261,511-261,I
1,4,2014,9,54,777-777,651-336,651-336,I
1,4,2014,9,56,888-888,778-692,511-261,F
1,4,2014,9,57,888-888,128-973,128-973,I
1,4,2014,10,9,888-888,192-992,128-973,F
1,4,2014,10,18,777-777,914-310,651-336,F
1,4,2014,10,28,888-888,494-318,494-318,I
1,4,2014,10,29,777-777,128-973,128-973,I
1,4,2014,10,30,777-777,192-992,128-973,F
1,4,2014,10,32,777-777,554-823,554-823,I
1,4,2014,10,36,999-999,315-664,315-664,I
1,4,2014,10,40,999-999,651-336,315-664,F
1,4,2014,10,40,999-999,264-323,264-323,I
1,4,2014,10,42,777-777,560-747,554-823,F
1,4,2014,10,42,999-999,667-741,264-323,F
1,4,2014,11,10,999-999,689-975,689-975,I
1,4,2014,11,14,999-999,139-853,689-975,F
1,4,2014,11,19,888-888,765-650,494-318,F
1,4,2014,11,21,888-888,220-106,220-106,I
1,4,2014,11,26,888-888,876-218,220-106,F
1,4,2014,11,39,999-999,700-151,700-151,I
1,4,2014,11,49,888-888,876-218,876-218,I
1,4,2014,12,1,888-888,420-586,876-218,F
1,4,2014,12,42,888-888,347-222,347-222,I
1,4,2014,12,53,999-999,693-046,700-151,F
1,4,2014,12,55,999-999,527-735,527-735,I
1,4,2014,12,57,888-888,426-972,347-222,F
1,4,2014,13,3,999-999,705-198,527-735,F
1,4,2014,13,25,777-777,914-310,914-310,I
1,4,2014,13,52,777-777,358-198,914-310,F
1,4,2014,13,55,777-777,545-330,545-330,I
1,4,2014,14,0,999-999,133-919,133-919,I
1,4,2014,14,3,777-777,295-838,545-330,F
1,4,2014,14,14,888-888,584-794,584-794,I
1,4,2014,14,15,888-888,276-237,584-794,F
1,4,2014,14,18,999-999,554-823,133-919,F
1,4,2014,14,37,999-999,584-794,584-794,I
1,4,2014,15,0,888-888,795-375,795-375,I
1,4,2014,15,2,999-999,460-290,584-794,F
1,4,2014,15,4,999-999,415-119,415-119,I
1,4,2014,15,5,777-777,829-984,829-984,I
1,4,2014,15,8,999-999,518-403,415-119,F
1,4,2014,15,19,777-777,676-556,829-984,F
1,4,2014,15,42,777-777,511-592,511-592,I
1,4,2014,15,44,777-777,511-592,511-592,F
1,4,2014,15,56,999-999,744-955,744-955,I
1,4,2014,16,19,888-888,830-719,795-375,F
1,4,2014,16,36,888-888,659-340,659-340,I
1,4,2014,17,5,888-888,709-539,659-340,F
1,4,2014,17,13,777-777,910-460,910-460,I
1,4,2014,17,17,999-999,530-135,744-955,F
1,4,2014,17,32,999-999,761-931,761-931,I
1,4,2014,17,54,999-999,736-976,761-931,F
1,4,2014,17,56,888-888,220-106,220-106,I
1,4,2014,17,59,888-888,734-320,220-106,F
1,4,2014,18,2,777-777,876-218,910-460,F
1,4,2014,18,31,777-777,644-829,644-829,I
1,4,2014,18,37,999-999,127-743,127-743,I
1,4,2014,18,40,999-999,860-973,127-743,F
1,4,2014,18,41,777-777,598-389,644-829,F
1,4,2014,18,51,999-999,667-741,667-741,I
1,4,2014,19,9,999-999,730-977,667-741,F
1,4,2014,19,22,999-999,977-895,977-895,I
1,4,2014,19,41,777-777,664-435,664-435,I
1,4,2014,20,5,888-888,468-349,468-349,I
1,4,2014,20,9,777-777,175-794,664-435,F
1,4,2014,20,16,999-999,641-926,977-895,F
1,4,2014,20,17,777-777,205-205,205-205,I
1,4,2014,20,30,777-777,705-198,205-205,F
1,4,2014,20,32,999-999,203-051,203-051,I
1,4,2014,20,39,777-777,264-323,264-323,I
1,4,2014,21,3,888-888,693-046,468-349,F
1,4,2014,21,32,999-999,946-500,203-051,F
1,4,2014,21,37,888-888,828-423,828-423,I
1,4,2014,21,43,777-777,736-976,264-323,F
1,4,2014,21,47,999-999,645-289,645-289,I
1,4,2014,21,49,888-888,386-800,828-423,F
1,4,2014,21,58,999-999,667-741,645-289,F
1,4,2014,22,59,777-777,407-179,407-179,I
1,4,2014,23,0,999-999,895-483,895-483,I
1,4,2014,23,0,777-777,734-320,407-179,F
1,4,2014,23,29,888-888,730-977,730-977,I
1,4,2014,23,36,777-777,853-439,853-439,I
1,4,2014,23,42,999-999,249-168,895-483,F
1,4,2014,23,43,888-888,203-051,730-977,F
1,4,2014,23,45,999-999,220-106,220-106,I
2,4,2014,0,1,999-999,148-880,220-106,F
2,4,2014,0,8,888-888,131-864,131-864,I
2,4,2014,0,19,888-888,990-940,131-864,F
2,4,2014,0,28,888-888,276-237,276-237,I
2,4,2014,0,31,777-777,598-558,853-439,F
2,4,2014,0,32,999-999,479-476,479-476,I
2,4,2014,0,34,777-777,530-135,530-135,I
2,4,2014,0,40,777-777,829-984,530-135,F
2,4,2014,0,47,999-999,393-359,479-476,F
2,4,2014,0,51,999-999,422-699,422-699,I
2,4,2014,0,52,888-888,689-975,276-237,F
2,4,2014,0,58,888-888,290-129,290-129,I
2,4,2014,1,5,777-777,393-359,393-359,I
2,4,2014,1,20,999-999,730-977,422-699,F
2,4,2014,1,25,999-999,127-743,127-743,I
2,4,2014,1,29,777-777,540-451,393-359,F
2,4,2014,1,40,888-888,826-107,290-129,F
2,4,2014,1,53,888-888,156-115,156-115,I
2,4,2014,1,59,999-999,479-476,127-743,F
2,4,2014,1,59,777-777,203-051,203-051,I
2,4,2014,2,13,777-777,705-911,203-051,F
2,4,2014,2,16,777-777,837-966,837-966,I
2,4,2014,2,53,888-888,286-218,156-115,F
2,4,2014,3,15,999-999,829-984,829-984,I
2,4,2014,3,21,999-999,729-133,829-984,F
2,4,2014,3,40,777-777,667-741,837-966,F
2,4,2014,3,53,777-777,761-931,761-931,I
2,4,2014,3,55,888-888,180-434,180-434,I
2,4,2014,4,16,999-999,527-735,527-735,I
2,4,2014,4,18,888-888,659-340,180-434,F
2,4,2014,4,19,777-777,641-895,761-931,F
2,4,2014,4,25,999-999,651-336,527-735,F
2,4,2014,4,31,888-888,133-919,133-919,I
2,4,2014,4,31,999-999,709-539,709-539,I
2,4,2014,4,32,888-888,654-531,133-919,F
2,4,2014,4,38,999-999,127-743,709-539,F
2,4,2014,4,43,777-777,186-069,186-069,I
2,4,2014,4,49,999-999,494-318,494-318,I
